run_id	save_rate	average_reward	save_lift	reward_lift	alignment	trust	regression	status	mutation_type	description
1	0.6010	0.6859	-0.0480	0.0206	0.3033	0.8111	pass	discard	arm_priors	[Retention Psychologist] [LLM] feature_value_recap alpha+=4, beta+=-1 — Boosting feature_value_recap should increase routing toward an action that reinforces learner identity and accumulated progress, leveraging sunk cost and habit momentum without relying on heavier incentives that could erode trust.
2	0.6490	0.6653	0.0000	0.0000	0.3852	0.8254	pass	discard	discount_cap	[Offer Economist] [LLM] discount_cap 1 -> 0 — Non-discount saves already outperform both discount arms while discounts risk unnecessary margin loss, so temporarily capping discounts should shift traffic to the more efficient frontier of pause/downgrade/value actions and improve save_rate without eroding trust.
3	0.6490	0.6653	0.0000	0.0000	0.3852	0.8254	pass	discard	reason_routing	[Lifecycle Strategist] [LLM] deny targeted_discount_40 for break — Users signaling a temporary break are a lifecycle fit for pause-oriented retention rather than high-discount rescue, so blocking 40% discount there should preserve trust and concentrate traffic on stronger stage-matched save paths like pause_plan_relief and downgrade_lite_switch.
4	0.6516	0.6989	0.0026	0.0335	0.3251	0.8248	pass	keep	arm_priors	[Support Concierge] [LLM] concierge_recovery alpha+=4, beta+=-1 — Concierge recovery is already a top non-discount performer with limited data, so modestly increasing its prior should route more eligible users to a high-trust save path without overcommitting exploration.
5	0.6516	0.6989	0.0000	0.0000	0.3251	0.8248	pass	discard	reason_routing	[Trust Guardian] [LLM] deny targeted_discount_40 for quality_bug — Blocking a deep discount for quality_bug prevents a trust-eroding mismatch where users reporting product problems feel bought off, while preserving routing toward more credible recovery actions like concierge_recovery.
6	0.6516	0.6989	0.0000	0.0000	0.3251	0.8248	pass	discard	exploration_rate	[Experiment Operator] [LLM] exploration_rate 0.150 -> 0.080 — With only 300 resolved outcomes and several strong arms already showing materially better win rates than control, reducing exploration from 0.15 to 0.08 should shift more traffic to proven non-discount winners while preserving enough learning to avoid trust-harming overcommitment.
7	0.6252	0.7133	-0.0264	0.0144	0.2459	0.8142	pass	discard	arm_priors	[Product Storyteller] [LLM] feature_value_recap alpha+=3, beta+=-1 — Feature_value_recap is already a strong non-discount performer and best fits a product-storytelling approach, so modestly favoring it should increase saves by helping more users recognize value already created without adding trust risk.
8	0.5190	0.6729	-0.1326	-0.0260	0.5519	0.6479	fail	discard	arm_priors	[Deadline Operator] [LLM] exam_sprint_focus alpha+=4, beta+=-1 — For deadline-driven users, a modest prior boost to exam_sprint_focus should increase selection of a trust-preserving urgency-relevant save path that is currently underexplored relative to stronger generic arms.
9	0.6516	0.6989	0.0000	0.0000	0.3251	0.8248	pass	discard	context_arms	[Win-Back Researcher] [LLM] context break|free|pause_plan_relief alpha+=3, beta+=-1 — Users signaling a break on the free plan are classic dormant/fatigued cases, and strengthening pause_plan_relief in this already high-performing context should lift saves by favoring a low-pressure comeback path that preserves trust.
9	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	pass	keep	generation_round	generated pause_plan_relief:s1
9	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	pass	keep	generation_round	generated pause_plan_relief:s2
